事業所名,事業種別,事業内容,事業所所在地,電話番号,PR,adress,lon,lat
事業所（店舗等）名,事業種別,事業内容,事業所所在地,電話番号,PR・オトク情報,神奈川県相模原市南区事業所所在地,139.3957836,35.5275279
セブンイレブン相模原南台四丁目店,小売業,コンビニ,南台4-11-2,042-766-8281,NA,神奈川県相模原市南区南台4-11-2,139.4239259,35.5207726
たい焼き 寿堂,小売業,たい焼きの製造販売,南台6-18-17,042-766-4142,"相模原産玉子と国産小麦100%を使用した当店オリジ
ナルのふんわりタイプの生地です。",神奈川県相模原市南区南台6-18-17,139.4160455,35.518172
（有）チグサ生花店,小売業,生花　園芸販売,南台6-19-8,042-744-1255,NA,神奈川県相模原市南区南台6-19-8,139.4169486,35.5176513
ドトールコーヒーショップ小田急相模原店,飲食業,NA,南台3-20-1　ラクアル・オダサガ2F,042-701-5100,NA,神奈川県相模原市南区南台3-20-1　ラクアル・オダサガ2F,139.4219805,35.5153638
肉とワイン居酒屋 Acorn,飲食業,"グリル肉とワインに合うおつまみが豊富な洋風居酒屋
です。",南台5-14-21よろづや2号館101,042-702-9415,NA,神奈川県相模原市南区南台5-14-21よろづや2号館101,139.4180361,35.5170954
ハコブカフウ,サービス業,"「小田急相模原駅」徒歩2分の“完全予約制”リンパト
リートメントサロンです。あたたかみのあるプライベート
空間でおひとりずつ心を込めて施術いたします。ご予
約はホームページからお願いいたします。",南台3-18-28小田急相模原ビル602,090-5316-8972,10分延長無料,神奈川県相模原市南区南台3-18-28小田急相模原ビル602,139.4221592,35.5163138
ハローツヨシ治療院,サービス業,マッサージ、手技療法で身体を根本から改善します。,南台6-19-7ラーク南台201,042-715-8896,NA,神奈川県相模原市南区南台6-19-7ラーク南台201,139.4170776,35.5176229
美容室Room Garden,サービス業,美容室,南台5-10-17 鈴木ビル1F,042-766-7601,"次回から使用出来る2,000円分のスタンプカード贈呈
（１回のご来店で５００円割引）（ご新規様のみ）（他の
クーポンとの併用不可）",神奈川県相模原市南区南台5-10-17 鈴木ビル1F,139.421301,35.5161766
美容室ウェーブ,サービス業,"美容業　Cut,パーマ,カラー",南台5-21-14,042-745-7338,"・髪や頭皮を傷めず気になる白毛を優しくコーティング
する「酸性カラー」
・50代～の女性の為の美容室
・髪のうねり、クセ毛、すぐにヘアスタイルが崩れてしま
う方の毛量矯正技術の「フレンチ・カット・グラン」
・トップにボリューム不足には「お手入れ楽々パーマ」",神奈川県相模原市南区南台5-21-14,139.4173826,35.5177466
美容室フィットンチッド,サービス業,美容業,南台3-1-27,042-741-1033,NA,神奈川県相模原市南区南台3-1-27,139.42472,35.5211658
ファミリーマートよろづやペアナード店,小売業,コンビニエンスストア,南台5-11-19-101,042-767-3830,NA,神奈川県相模原市南区南台5-11-19-101,139.4215363,35.5159807
双葉交通（株）,サービス業,タクシー,南台2-5-17,042-742-2421,NA,神奈川県相模原市南区南台2-5-17,139.4249386,35.5219111
ヘアーカットクレイズ,サービス業,カット、シャンプー、顔剃り,南台5-21-14,042-742-3800,NA,神奈川県相模原市南区南台5-21-14,139.4173826,35.5177466
ボストン,小売業,パン製造・販売,南台5-14-15,046-251-0253,NA,神奈川県相模原市南区南台5-14-15,139.4189764,35.51667279999999
まくら屋,小売業,ふとんの専門店まくら屋です。,南台6-17-18,042-765-4122,NA,神奈川県相模原市南区南台6-17-18,139.4155691,35.5185163
（株）みゆき寝具店,小売業,"寝具販売、打ち直し、 
羽毛布団仕立て直し 
パジャマ、エプロン、ソックス 
バッグ、袋物",南台5-14-18,042-744-1808,"○10000円以上お買い上げの方にタオルプレゼント 
○パジャマの裾上げ無料",神奈川県相模原市南区南台5-14-18,139.4184671,35.516932
みゆ鍼灸院・接骨院,その他,"当院は女性に快適に過ごしていただける空間を提供
し、美容と健康の両面からサポートする鍼灸院です。",南台5-14-16,090-4025-3021,"キャンペーン期間中、岩盤エクササイズのチケット12
回券以上を初めてご購入の方限定で、1回のご利用
が50%OFFになるクーポンをプレゼント！",神奈川県相模原市南区南台5-14-16,139.4187549,35.5166814
メモリアルハウス小田急相模原,サービス業,創業109年！老舗の専門葬儀社です。,南台3-8-1,012-017-7166,"相模原市を中心に会員数9万人！ 
あんしん倶楽部新規入会受付中！ 
ご相談だけでもお気軽にお声掛けください！",神奈川県相模原市南区南台3-8-1,139.4237441,35.5193942
矢島自転車商会,小売業,自転車販売・修理,南台5-14-16,042-744-1215,NA,神奈川県相模原市南区南台5-14-16,139.4187549,35.5166814
ワタナベ理容店,サービス業,"理容店です。
寝たきりのお客様への出張散髪サービスや、ヘアド
ネーション、夜間営業なども行っています。",南台6-19-19,042-745-7117,"かながわペイをはじめとした各種キャッシュレスサービ
スを利用できます。",神奈川県相模原市南区南台6-19-19,139.4167204,35.5183379
セブンイレブン相模原豊町店,小売業,コンビニです。,豊町1-24,042-742-7704,コンビニです。,神奈川県相模原市南区豊町1-24,139.4253792,35.5288357
AKランドリーなかや大沼店,サービス業,クリーニング,若松4-17-17,042-741-5067,30円券1枚プレゼント,神奈川県相模原市南区若松4-17-17,139.4210372,35.5379048
BLUE NOTE,サービス業,理容業,若松3-39-11,042-744-9938,NA,神奈川県相模原市南区若松3-39-11,139.4248589,35.539256
IN・BEAUTY ぷる～む,小売業,化粧品小売販売業,若松3丁目27-3,042-744-0041,NA,神奈川県相模原市南区若松3丁目27-3,139.4244222,35.5394015
WEショップ若松店,小売業,"地域の皆さまから寄付していただいた衣類や雑貨を
販売し、収益で海外支援・東日本大震災復興支援をし
ているチャリティショップです。",若松4-13-3,042-744-9799,NA,神奈川県相模原市南区若松4-13-3,139.4224898,35.5378032
アートクリーニング若松店,サービス業,"衣類・寝具などのクリーニングをしています。（特殊品
含む）",若松3-39-8,042-743-0128,"8日、18日、28日サービスデイ・特殊品除く全品20％
OFF",神奈川県相模原市南区若松3-39-8,139.4252887,35.5388488
アトム電器相模原若松店,小売業,家電販売　工事,若松5-3-19,042-745-2703,見積無料　南区、中央区一部、出張費無料,神奈川県相模原市南区若松5-3-19,139.4202933,35.53722760000001
事業所（店舗等）名,事業種別,事業内容,事業所所在地,電話番号,PR・オトク情報,神奈川県相模原市南区事業所所在地,139.3957836,35.5275279
居酒屋 城（しろ）,飲食業,新鮮な魚や肉料理や創作料理が人気のお店です。,若松3-9-4,042-745-5040,NA,神奈川県相模原市南区若松3-9-4,139.4231914,35.54058610000001
伊勢元酒店,小売業,酒類販売業,若松3-27-1,042-744-0035,NA,神奈川県相模原市南区若松3-27-1,139.4242634,35.539552
エステサロン美美,サービス業,エステによるリラクゼーションサービスと化粧品の販売 若松6-1-30,NA,090-2913-0037 全てのコース、初回30％引き,NA,神奈川県相模原市南区NA,139.3957836,35.5275279
おはなやさん,小売業,生花・鉢花販売,若松3-8-12,042-747-0238,NA,神奈川県相模原市南区若松3-8-12,139.4233502,35.5406505
火山岩焼肉はうす栖,飲食業,NA,若松3-32-4,042-740-8829,"１７時～１９時（生ビール、ウーロンハイ、緑茶ハイ、ソ
フトドリンク）半額です。",神奈川県相模原市南区若松3-32-4,139.4251242,35.5378932
カトレア美容室,サービス業,美容室,若松3-20-4,042-745-8471,NA,神奈川県相模原市南区若松3-20-4,139.4239767,35.5398402
（有）サイクルセンターさがみ,小売業,販売、修理,若松3-14-3,042-745-8052,NA,神奈川県相模原市南区若松3-14-3,139.4221061,35.5404024
新鮮市場なかや 相模原大沼店,小売業,食品スーパーマーケット,若松4-17-17,042-767-5660,NA,神奈川県相模原市南区若松4-17-17,139.4210372,35.5379048
セブンイレブン相模原若松三丁目店,小売業,コンビニエンスストアです,若松3-47-22,042-766-0250,NA,神奈川県相模原市南区若松3-47-22,139.4266053,35.5387576
小さな家族葬ハウスⓇ若松,サービス業,創業109年！老舗の専門葬儀社です。,若松4丁目17-14,012-017-7166,"相模原市を中心に会員数9万人！ 
あんしん倶楽部新規入会受付中！ 
ご相談だけでもお気軽にお声掛けください！",神奈川県相模原市南区若松4丁目17-14,139.4214843,35.5378175
トーザイ薬局,小売業,医薬品販売、処方箋調剤,若松3-33-13,042-743-8489,NA,神奈川県相模原市南区若松3-33-13,139.4258019,35.5381286
中根製麺,小売業,麺類製造業,若松3-4-6,042-743-6840,NA,神奈川県相模原市南区若松3-4-6,139.4234991,35.5413106
ニューオリオン洋菓子店,小売業,洋菓子製造販売,若松3-26-9,042-743-1347,NA,神奈川県相模原市南区若松3-26-9,139.4243329,35.5397324
バランス整体院,その他,整体（健康管理師）,若松3‐9‐3,042-743-1572,腰痛、ギックリ腰の治療が特技,神奈川県相模原市南区若松3‐9‐3,139.4230624,35.540704
はるかぜ鍼灸治療院,サービス業,鍼灸治療院,若松3-9-6,042-748-8338,NA,神奈川県相模原市南区若松3-9-6,139.4233809,35.5403975
ビューティーオダ,サービス業,カットパーマ,若松3‐9‐3,042-715-1539,NA,神奈川県相模原市南区若松3‐9‐3,139.4230624,35.540704
読売センター相模大野,小売業,新聞販売店,若松3-33-11,042-748-0234,NA,神奈川県相模原市南区若松3-33-11,139.4256207,35.53796500000001
事業所（店舗等）名,事業種別,事業内容,事業所所在地,電話番号,PR・オトク情報,神奈川県相模原市南区事業所所在地,139.3957836,35.5275279
ECCベストワン東林間駅前校,その他,"小1～高3対象の、5科目指導の
個別指導学習塾",上鶴間6-31-10新光東林間ビル4F,042-810-8640,"★公立中生の英語・数学20点アップ保証制度あり
★英検準2級まで合格保証制度あり",神奈川県相模原市南区上鶴間6-31-10新光東林間ビル4F,139.4388361,35.5210595
Highland Cake（ハイランド ケーキ）,小売業,NA,上鶴間4-4-5,042-705-5908,NA,神奈川県相模原市南区上鶴間4-4-5,139.4441976,35.5204707
LIANGE,サービス業,"東林間駅 東口から降りてすぐ目の前にある美容室で
す。",上鶴間7-6-8,042-705-7461,NA,神奈川県相模原市南区上鶴間7-6-8,139.4391637,35.5209861
いろは堂薬局東口店,小売業,"保険調剤、一般用医薬品販売、化粧品販売などをし
ています。",上鶴間7-5-8キクヤビル1F,042-702-4649,毎週土曜日リンリンポイント3倍。,神奈川県相模原市南区上鶴間7-5-8キクヤビル1F,139.4393524,35.5211252
カレーハウスCoCo壱番屋相模原上鶴間店,飲食業,カレー専門店です,上鶴間2-8-1,042-746-7727,NA,神奈川県相模原市南区上鶴間2-8-1,139.4495665,35.5234471
珈琲新鮮館 Dino,小売業/飲食業,"生豆の品質や焙煎、焙煎後の鮮度にこだわった珈琲
焙煎所",上鶴間7-6-9 1F,042-744-7077,NA,神奈川県相模原市南区上鶴間7-6-9 1F,139.4392432,35.5210541
コワフュール・エステ・エコー,サービス業,"美容業全般(カット・パーマ・毛染・シャンプー・セット　
着付etc)",上鶴間7-5-9,042-746-0298,"ナンバーズカード発行。(ポイントがたまる、期限なし端
数算入)",神奈川県相模原市南区上鶴間7-5-9,139.4396498,35.5212157
三福飯店,飲食業,定食やラーメン中心の中華料理店です,上鶴間7-6-9,042-742-1474,NA,神奈川県相模原市南区上鶴間7-6-9,139.4392432,35.5210541
セブンイレブン相模原くぬぎ台小前店,小売業,コンビニエンスストア,上鶴間6-7-9,042-747-7115,NA,神奈川県相模原市南区上鶴間6-7-9,139.4416574,35.5229271
そば処 高松,飲食業,そば、うどん、丼物、定食,上鶴間7-5-10,042-745-6887,NA,神奈川県相模原市南区上鶴間7-5-10,139.4396498,35.5212157
たっきー指圧治療院,その他,"疲れた身体を癒やしコリをほぐす、日々の体調管理や
自分へのご褒美に一人一人に寄り添う指圧治療院で
す。",上鶴間7-14-14,080-4441-7354,NA,神奈川県相模原市南区上鶴間7-14-14,139.4408714,35.5181483
利根川Ｋスタジオ,サービス業,"シニアの方が安心して通えるアットホームなフィットネ
ススタジオです。椅子を使用してのレッスンもありま
す。",上鶴間5-1-21スカイビル2F,042-745-4100,"キャンペーン期間中、
①60歳以上の方の入会金無料。（お月謝のみ頂きま
す）
②フィットネスシューズの販売、及びフィットネスウエア
特別saleを開催予定。",神奈川県相模原市南区上鶴間5-1-21スカイビル2F,139.4438798,35.5237457
ドライクリーナートップ,サービス業,クリーニング業,上鶴間6-21-15,042-743-7885,"公式ラインお友達追加でお得なサービスや割引があり
ます",神奈川県相模原市南区上鶴間6-21-15,139.438274,35.5220817
東林間整骨院,サービス業,"整骨院、整体業。
自費診療を主体とした施術を提供している治療院です",上鶴間6-27-5コジマビル101,042-743-8020,"ホームページをご覧になり
下記の公式ラインからご予約の方には初診時に使え
る1000円オフクーポン、無料ゆがみ測定をプレゼン
ト。",神奈川県相模原市南区上鶴間6-27-5コジマビル101,139.4406441,35.5221685
美容室サーカス サーカス,サービス業,美容室,上鶴間6-28-5,042-740-3224,NA,神奈川県相模原市南区上鶴間6-28-5,139.4400992,35.5218563
ふくろふ森,飲食業,"地域から愛される店を目指す、フレンチレストランで
す。",上鶴間5-5-12,042-740-2951,NA,神奈川県相模原市南区上鶴間5-5-12,139.444245,35.5229301
ブックオフプラス16号相模原上鶴間店,小売業,"本、ホビー、洋服などの買取・販売を行うリユース
ショップです。",上鶴間2-5-2,042-767-3116,NA,神奈川県相模原市南区上鶴間2-5-2,139.4485534,35.5243313
ホンダカーズ神奈川西 相模大野店,小売業,"自動車(新車)の販売、車検、点検、整備、修理をして
います。
Honda正規ディーラー
その他に、電動車いす(WHILL)の販売も行っていま
す。",上鶴間2-1-1,042-749-3711,NA,神奈川県相模原市南区上鶴間2-1-1,139.4480412,35.5254558
道の整骨院,その他,"相模原・町田エリアで唯一のバイタルリアクトセラピー
専門院。マッサージや整体で良くならなかった方にお
すすめです。",上鶴間6-12-16-1Ｆ,042-866-6641,"マッサージや整体でも良くならなかった方限定で初診
料2,000円引きで特別提供。",神奈川県相模原市南区上鶴間6-12-16-1Ｆ,139.43931,35.5254185
HairSalon ACE（エース）,サービス業,理容業,上鶴間本町4-51-33 1F,042-746-5772,NA,神奈川県相模原市南区上鶴間本町4-51-33 1F,139.4443947,35.5304139
i-bases（イーベイシズ）,サービス業,"みなさまの毎日をちょっぴり楽しくする、地域密着型個
人営業のIT企業です
パソコンやスマホの使い方はもちろん突然のトラブル
や日頃のメンテナンス、Webサイトの構築など最適な
サービスをご提供しております",上鶴間本町6-11-18,042-851-5729,新規会員登録無料！,神奈川県相模原市南区上鶴間本町6-11-18,139.4468983,35.5313083
Leshen ～Total Beauty Studio～,サービス業,"小顔矯正、骨盤矯正などの美容矯正をしています。 
綺麗になりたい方はもちろんですが、首肩凝りや腰痛
など、身体の不調を改善したい方も大歓迎です。",上鶴間本町3-10-2 Riziere West303,080-6367-5816,"全身どこでもお任せください！ 
※様々な割引もご用意しております。",神奈川県相模原市南区上鶴間本町3-10-2 Riziere West303,139.4438109,35.5409168
市川ストアー,小売業,相模原市産、地元野菜や果物を販売しています！,上鶴間本町5-29-14,042-742-8798,NA,神奈川県相模原市南区上鶴間本町5-29-14,139.451553,35.5317327
事業所（店舗等）名,事業種別,事業内容,事業所所在地,電話番号,PR・オトク情報,神奈川県相模原市南区事業所所在地,139.3957836,35.5275279
（有）沖園芸,小売業,"・草花、植木、園芸用品を販売しています
・造園、庭木の手入、植木の植込等をしています",上鶴間本町7-22-31,042-742-9604,・次回使える割引券（期間限定）の配布,神奈川県相模原市南区上鶴間本町7-22-31,139.4518419,35.5274929
カラダノミカタ,サービス業,整体・フットケア,上鶴間本町3-18-27グローリア初穂町田409,042-785-4664,"〇 整体60分コース、初回と2回目2980円
〇 女性専用フットケア部門では初めての方 < 20%
OFF！>
　 うおのめ・爪がうまく切れない・巻き爪などのお悩み
ご相談ください。",神奈川県相模原市南区上鶴間本町3-18-27グローリア初穂町田409,139.4438203,35.5413284
（有）光陽建設,サービス業,不動産業（賃貸・売買・管理）,上鶴間本町３－９－２,042-767-2601,NA,神奈川県相模原市南区上鶴間本町３－９－２,139.4432717,35.5408928
相模原市農業協同組合 相模大野支店,小売業,NA,上鶴間本町4-5-10,042-742-3374,NA,神奈川県相模原市南区上鶴間本町4-5-10,139.4409929,35.5335887
庄井歯科医院,その他,歯科医療,上鶴間本町4−14−30,042-748-3161,NA,神奈川県相模原市南区上鶴間本町4−14−30,139.4419583,35.5346181
スマイルカンパニー上鶴間店,小売業,"家具、一般日用品雑貨販売、古物品の売買及び仲介
業",上鶴間本町9-47-39,042-705-8611,特になし,神奈川県相模原市南区上鶴間本町9-47-39,139.452201,35.5216717
セブンイレブン上鶴間本町8丁目店,小売業,コンビニエンスストア,上鶴間本町8-53-10,042-742-8950,NA,神奈川県相模原市南区上鶴間本町8-53-10,139.4559349,35.5274948
セブンイレブン相模原上鶴間本町6丁目店,小売業,食料品・雑貨,上鶴間本町6-2-7,042-749-8677,NA,神奈川県相模原市南区上鶴間本町6-2-7,139.4451477,35.5293263
セブンイレブン相模原境橋店,小売業,NA,上鶴間本町5-3-2,042-851-6755,NA,神奈川県相模原市南区上鶴間本町5-3-2,139.4465908,35.5389699
セブンイレブン谷口店,小売業,コンビニエンスストア,上鶴間本町1-37-30,042-767-7552,NA,神奈川県相模原市南区上鶴間本町1-37-30,139.4397638,35.536401
ダイヤ・ドライセンター町田南口店,サービス業,クリーニング店です。衣類のお直しも承っております。 上鶴間本町2-13-3,NA,042-744-2224,NA,神奈川県相模原市南区NA,139.3957836,35.5275279
ファミリーマート三河屋上鶴間店,小売業,接客業,上鶴間本町８-5-5,042-701-4920,NA,神奈川県相模原市南区上鶴間本町８-5-5,139.4518667,35.5316981
むさし矯正丸,サービス業,"腰痛肩凝り骨盤矯正O脚X脚顎関節調整など骨格矯
正とほぐしを専門としております。",上鶴間本町4-6-3渋谷ヴィラ2-104渋谷,042-705-3068,"どこに行っても効果を感じられない方。当院に来られ
たらオトクです！
サンキューバック キャンペーンでお得もGETしてくださ
い。",神奈川県相模原市南区上鶴間本町4-6-3渋谷ヴィラ2-104渋谷,139.4400474,35.5333177
（有）村田輪業商会,小売業,自転車.オ-トバイ販売.修理,上鶴間本町8-6-10,042-746-1291,NA,神奈川県相模原市南区上鶴間本町8-6-10,139.4523258,35.5321769
セブンイレブン相模原北里二丁目店,小売業,コンビニ,北里2-20-14,042-778-1175,NA,神奈川県相模原市南区北里2-20-14,139.405789,35.5382624
ファミリーマート北里大学L1号館店,小売業,北里大学相模原キャンパス内のコンビニエンスストア,北里1-15-1　北里大学相模原キャンパス内,042-777-8075,NA,神奈川県相模原市南区北里1-15-1　北里大学相模原キャンパス内,139.395056,35.5403893
ファミリーマート北里大学病院店,小売業,北里大学病院内のコンビニエンスストア,北里1-15-1　北里大学病院東館1F,042-777-6260,NA,神奈川県相模原市南区北里1-15-1　北里大学病院東館1F,139.3930011,35.5380249
Dテニススクール古淵駅前校,"サービス業/その
他","インドアのテニススクールです。 
テニスのレッスンを行なっています。 
空きコートのレンタルや、ラケット等テニス用品の販売
も行なっています。",古淵2-15-5 2F,042-707-0617,"9月6日(火)グランドオープン！！駅から徒歩１分で 
気温、天候問わずにテニスを楽しめるインドアのテニ
ススクールです！！　お得に始められる入会キャン
ペーンも実施中！！",神奈川県相模原市南区古淵2-15-5 2F,NA,NA
ECCジュニア古淵3丁目教室,その他,英語教室,古淵3-12-12-501,090-8563-7278,NA,神奈川県相模原市南区古淵3-12-12-501,139.4188977,35.5540787
ECCジュニア古淵4丁目教室,その他,英会話教室,古淵4-9-20,042-750-5529,10月生募集中,神奈川県相模原市南区古淵4-9-20,139.4228738,35.5567506
luminous,サービス業,美容室,古淵4-4-17ベネフィーク1F,042-707-0708,NA,神奈川県相模原市南区古淵4-4-17ベネフィーク1F,139.4221989,35.5553671
M GLANZ,サービス業,メンズ脱毛サロン,古淵2-18-3,042-707-4809,"男性も脱毛の時代☆
地元で通いやすい。
痛みを最小限に抑えた安心脱毛(*^^*)
大手には無い、丁寧な接客。
都度払いもあります。
完全予約制で人目も気にせず、ゆったり脱毛出来ます
☆",神奈川県相模原市南区古淵2-18-3,139.4195822,35.5553543
SKY FIELD HAIR,サービス業,メンズサロンです,古淵2-16-9リバーストーン古淵204,042-707-1514,NA,神奈川県相模原市南区古淵2-16-9リバーストーン古淵204,139.4182884,35.5548748
アパホテル〈相模原 古淵駅前〉,サービス業,NA,古淵3‐9‐8,042-757-6551,NA,神奈川県相模原市南区古淵3‐9‐8,139.4199242,35.5537143
アユタヤ タイ古式マッサージ,サービス業,タイ古式マッサージ　セラピスト,古淵3-12番12号アクシス古淵305,042-866-3289,"タイ古式マッサージ、アロマオイルマッサージを行って
います。タイでマッサージ店を開いていた実績もあり、
ていねいに施術いたします。
古淵駅から徒歩3分、QRコードやクレジットカード決済
もできます。",神奈川県相模原市南区古淵3-12番12号アクシス古淵305,139.4189236,35.554058
板垣畳店,サービス業,"創業57年。厚生労働省認定の１級技能士が畳の張り
替え、畳のリフォームを行う畳専門店です。",古淵4-36-10,042-742-1756,かながわPayご利用頂けます！,神奈川県相模原市南区古淵4-36-10,139.4266354,35.5528539
事業所（店舗等）名,事業種別,事業内容,事業所所在地,電話番号,PR・オトク情報,神奈川県相模原市南区事業所所在地,139.3957836,35.5275279
大沼飯店,飲食業,約50年前から続く中華料理店です,古淵3-20-1,042-744-2032,"当店名物サンマーメンやチャーハンだけでなく 
オムライス、カツカレーなどもおすすめな 
昔ながらの街中華です",神奈川県相模原市南区古淵3-20-1,139.4206208,35.5516932
（有）小川ミート,"小売業/飲食業/
その他",精肉小売卸売、飲食,古淵3-27-2,042-744-0332,"土曜日限定炭火串焼・焼鳥と国産ロースとんかつ特
売 1枚￥150（税）",神奈川県相模原市南区古淵3-27-2,139.4236488,35.5509977
がじゃいも家族,飲食業,居酒屋,古淵3-6-21ビクトリーⅡ,042-776-5620,NA,神奈川県相模原市南区古淵3-6-21ビクトリーⅡ,139.4213652,35.5540268
"カレーハウスCoCo壱番屋相模原古淵駅前
店",飲食業,カレーを提供する飲食店です,古淵2-18-3山政第1ビル1F,042-776-3976,NA,神奈川県相模原市南区古淵2-18-3山政第1ビル1F,139.4195822,35.5553543
クリーニングペルル イオン相模原店,サービス業,クリーニング店,古淵2-10-1,042-769-7638,NA,神奈川県相模原市南区古淵2-10-1,139.417027,35.5537101
コブサン鍼灸院・接骨院,その他,"鍼灸院・接骨院、慢性的な痛みや急性の痛みの治療
をしています",古淵1-6-10 プレミール古淵3F3C,042-707-0841,初回骨盤矯正　1980円です,神奈川県相模原市南区古淵1-6-10 プレミール古淵3F3C,139.4196978,35.5562872
コメダ珈琲店 古淵駅前店,飲食業,喫茶店,古淵1-7-3,042-707-8994,NA,神奈川県相模原市南区古淵1-7-3,139.4203616,35.5558217
相模原市農業協同組合 大野支店,小売業,NA,古淵3-7-7,042-752-1270,NA,神奈川県相模原市南区古淵3-7-7,139.4217089,35.5530648
スマホスピタル イオン相模原店,サービス業,"スマートフォン、タブレット、ゲーム機などの修理を承っ
ています。
各機種の保護フィルムや、ガラスコーティング。ケース
などの販売もしています。",古淵2-10-1イオン相模原ショッピングセンター1F,050-5445-9233,"ご利用頂いた方には次回からご利用いただける1,000
円引きのクーポンをお配りしております。",神奈川県相模原市南区古淵2-10-1イオン相模原ショッピングセンター1F,139.417027,35.5537101
セブンイレブン相模原古淵北店,小売業,コンビニエンスストア,古淵1-6-10,042-751-1298,NA,神奈川県相模原市南区古淵1-6-10,139.4196921,35.5562955
セブンイレブン相模原古淵3丁目店,小売業,コンビニ,古淵3-33-6,042-766-5651,NA,神奈川県相模原市南区古淵3-33-6,139.4238812,35.5503464
セブンイレブン相模原古淵南店,小売業,コンビニエンスストア,古淵3-10-14,042-769-4621,なし,神奈川県相模原市南区古淵3-10-14,139.4198367,35.5546786
チェリ－ココン,サービス業,美容室,古淵1-6-10プルミエール古淵2F　C号室,042-704-8761,NA,神奈川県相模原市南区古淵1-6-10プルミエール古淵2F　C号室,139.4196921,35.5562955
（有）トータルライフホソヤ,小売業,ガス、水まわり器具販売、修理,古淵4-7-21,042-755-9789,ビルトインガスコンロ特価+炊飯ナベサービス,神奈川県相模原市南区古淵4-7-21,139.4226513,35.5555647
日本蕎麦屋 そば膳古淵松貴,飲食業,日本蕎麦屋,古淵3-7-20,042-755-2098,平日はお得な日替わりランチメニューがあります！,神奈川県相模原市南区古淵3-7-20,139.4208982,35.5522655
美容室 J.E,サービス業,美容一般,古淵3-23-1,042-745-5398,NA,神奈川県相模原市南区古淵3-23-1,139.4230076,35.5517031
ヒロセ洋菓子店,小売業,洋菓子製造販売,古淵5-6-9,042-747-0267,"バタークリームケーキ！
生クリームフルーツデコレーションケーキ！パーティの
リクエストケーキ！
ご予約でいつでも作ります！",神奈川県相模原市南区古淵5-6-9,139.4234594,35.5515541
ファミリーマート相模原古淵店,小売業,コンビニエンスストア,古淵2-3-2,042-730-4861,NA,神奈川県相模原市南区古淵2-3-2,139.4170952,35.5564471
ファミリーマート細谷古淵店,小売業,コンビニエンスストア,古淵1-34-13,042-752-3306,ファミリーマートのアプリ、ファミペイが断然お得！,神奈川県相模原市南区古淵1-34-13,139.4228971,35.5578069
福よし 古淵店,飲食業,とろけるハンバーグ専門店,古淵2-16-9リバーストーン古淵1F,042-711-7906,NA,神奈川県相模原市南区古淵2-16-9リバーストーン古淵1F,139.4182884,35.5548748
"ブックオフプラス古淵駅前店（アパレル・家電
館）",小売業,"家電・PC・スマホタブレット楽器・鉄道模型・服・バック・
雑貨・着物・ハイブランドなどのリユースショップ",古淵2-17-15　2F・3F,042-754-5333,"ブックオフアプリをダウンロードして登録すると値引き
クーポンやお得情報が届きます。 
毎月1日と15日に「100円引きクーポン」・29日には
「500円買うと300円引き」のクーポンが届きます！",神奈川県相模原市南区古淵2-17-15　2F・3F,139.4186854,35.5547492
ブックオフプラス古淵駅前店（本・ソフト館）,小売業/飲食業,"本・ゲーム・トレカ・ホビー・CD・DVDなどのリユース
ショップ",古淵2-19-14,042-750-5011,"ブックオフアプリをダウンロードして登録すると値引き
クーポンやお得情報が届きます。 
毎月1日と15日に「100円引きクーポン」・29日には
「500円買うと300円引き」のクーポンが届きます！",神奈川県相模原市南区古淵2-19-14,139.4180722,35.5563477
ヘアショップ 三浦,サービス業,理容全般,古淵3-32-6,042-744-3933,NA,神奈川県相模原市南区古淵3-32-6,139.4221454,35.5500981
ヘアーメイクwith,サービス業,"カット、パーマ、カラーであなたの髪を素敵、綺麗にし
ます。",古淵1-1-16,042-751-2180,NA,神奈川県相模原市南区古淵1-1-16,139.4172861,35.5581833
焼肉ホルモンたけ田 古淵店,飲食業,"レモンサワー60分500円で飲み放題！
最高のお肉をご提供させていただきます！",古淵1-8-12T&T第一ビル2F,042-753-0606,NA,神奈川県相模原市南区古淵1-8-12T&T第一ビル2F,NA,NA
ル・ジャルダン古淵店,サービス業,美容室,古淵2-17-3渋谷ビル1F,042-730-5740,NA,神奈川県相模原市南区古淵2-17-3渋谷ビル1F,139.4192412,35.5551892
渡邉八百屋惣菜店,小売業,青果、総菜販売店,古淵3-23-1,042-742-8995,NA,神奈川県相模原市南区古淵3-23-1,139.4230076,35.5517031
プラスマークス,小売業,"看板屋やのぼり旗といった店舗用品をはじめ、販促資
材を販売しております。他、交通安全用品も取り扱っ
ております。看板等の在庫品の店舗販売やオリジナ
ルの幕など印刷物等の制作もお気軽にご相談くださ
い。",栄町2-13-1F,042-711-6450,"WEBサイトより会員登録(初回のみ)いただきますと
WEBサイトで1ポイント1円としてお値引きご利用いた
だける300ポイントを付与いたします(有効期限12か
月)。",神奈川県相模原市南区栄町2-13-1F,139.4232722,35.5307067
事業所（店舗等）名,事業種別,事業内容,事業所所在地,電話番号,PR・オトク情報,神奈川県相模原市南区事業所所在地,139.3957836,35.5275279
ペット・ナチュレ,サービス業,ペットサロン　ペットホテル　動物用医薬品販売,栄町14-16,042-747-8567,NA,神奈川県相模原市南区栄町14-16,139.4239225,35.5295243
